,jupyter notebook,jupyter,jupyter-notebook,python,ipython,ipython-notebook
348,0.0,0.0,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.18181818181818185,0.0,0.0
350,0.0,0.0,0.0,0.0625,0.03125,0.0
351,0.0,0.0,0.0,0.08481764206955046,0.0,0.0
352,0.0,0.0,0.0,0.0006635700066357001,0.0,0.0
353,0.0,0.0,0.0,0.016563146997929608,0.0,0.0
354,0.0,0.0,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.06542056074766353,0.0,0.0
356,0.0,0.0,0.0,0.2328358208955224,0.0,0.0
357,0.0,0.0,0.0,0.0,0.0,0.0
358,0.0,0.0,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0,0.0,0.0
360,0.0,0.0,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.14873713751169318,0.0,0.0
363,0.0,0.0,0.0,0.01282051282051282,0.0,0.0
364,0.0,0.0,0.0,0.04615384615384616,0.0,0.0
365,0.0,0.0,0.0,0.007843137254901959,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0,0.0
367,0.0,0.0,0.0,0.029333333333333333,0.0,0.0
368,0.0,0.0,0.0,0.25473684210526315,0.0,0.0
369,0.0,0.0,0.0,0.2714748784440843,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.039917412250516184,0.0,0.0
372,0.0,0.0,0.0,0.0,0.0,0.0
373,0.0,0.0,0.0,0.0,0.0,0.0
374,0.0,0.0,0.0,0.0,0.0,0.0
375,0.0,0.0,0.0,0.003484320557491289,0.0,0.0
376,0.0,0.0,0.0,0.0,0.0,0.0
377,0.0,0.0,0.0,0.024360535931790498,0.0,0.0
378,0.0,0.0,0.0,0.0,0.0,0.0
379,0.0,0.0,0.0,0.056338028169014086,0.0,0.0
380,0.0,0.0,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.05947955390334572,0.0,0.0
382,0.0,0.0,0.0,0.008294930875576038,0.0,0.0
383,0.0,0.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.06923579359895493,0.016982364467668192,0.016982364467668192
386,0.0,0.0,0.0,0.13368983957219252,0.0,0.0
387,0.0,0.0,0.0,0.014961101137043688,0.0,0.0
388,0.0,0.0,0.0,0.002772002772002772,0.0,0.0
389,0.0,0.0,0.0,0.04360189573459716,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0,0.0,0.0
393,0.020964360587002098,0.0,0.0,0.0573025856044724,0.0,0.0
394,0.0,0.0,0.0,0.004711425206124852,0.0,0.0
395,0.0,0.0,0.0,0.004302397049784881,0.0,0.0
396,0.0,0.0,0.0,0.01671122994652406,0.0,0.0
397,0.0,0.0,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,0.0,0.07653061224489796,0.0,0.0
402,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0361958836053939,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.2271186440677966,0.0,0.0
408,0.0,0.0,0.0,0.0,0.0,0.0
409,0.0,0.0,0.0,0.005279034690799397,0.0,0.0
410,0.0,0.0,0.0,0.0,0.0,0.0
411,0.0,0.0,0.0,0.06988188976377953,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0,0.0,0.0
414,0.0,0.0,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.01541251133272892,0.0,0.0
416,0.0,0.0,0.0,0.0339622641509434,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.010070493454179257,0.0,0.0
420,0.0,0.0,0.0,0.013221153846153846,0.0,0.0
421,0.0,0.0,0.0,0.0,0.0,0.0
422,0.0,0.0,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.006666666666666667,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.1020408163265306,0.0,0.0
426,0.0,0.0,0.0,0.0,0.0,0.0
427,0.0,0.0,0.0,0.041079092581238506,0.0,0.0
428,0.0,0.0,0.0,0.049689440993788817,0.0,0.0
429,0.0,0.0,0.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0,0.0,0.0
431,0.0,0.0,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.06274509803921569,0.0,0.0
433,0.0,0.0,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.023809523809523808,0.0,0.0
437,0.0,0.0,0.0,0.047524752475247525,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0
439,0.0,0.0,0.0,0.040229885057471264,0.0,0.0
440,0.0,0.0,0.0,0.008009858287122612,0.0,0.0
441,0.0,0.0,0.0,0.03120759837177748,0.0,0.0
442,0.0,0.0,0.0,0.0,0.0,0.0
443,0.0,0.0,0.0,0.13793103448275862,0.0,0.0
444,0.0,0.0,0.0,0.03314917127071823,0.0,0.0
445,0.0,0.0,0.0,0.0,0.0,0.0
446,0.0,0.0,0.0,0.057570977917981075,0.0,0.0
447,0.0,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
451,0.0,0.0,0.0,0.00870253164556962,0.0,0.0
452,0.0,0.0,0.0,0.0,0.0,0.0
453,0.0,0.0,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,0.12143514259429625,0.0,0.0
455,0.03829787234042553,0.0,0.0,0.14042553191489365,0.01702127659574468,0.01702127659574468
456,0.0,0.0,0.0,0.0,0.0,0.0
457,0.0,0.0,0.0,0.0,0.0,0.0
458,0.0,0.0,0.0,0.0,0.0,0.0
459,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
460,0.0,0.0,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0,0.0,0.0
